category,SHEF_C,SHEF_C_CODE
Information Request,Other,C5
Cyclepath Query,Road Safety & Defects,C7
Broken Grit Bin,Road Safety & Defects,C7
Damage to kerb,Access,C1
Carriageway Defect,Road Safety & Defects,C7
Grass Cutting on a public right of way,Access,C1
Street Light On During the Day,Road Safety & Defects,C7
Flooded Property,Environmental Health,C3
Rubbish or fly tipping on the roads,Environmental Health,C3
Sign/Pole Damaged,Road Safety & Defects,C7
Fallen Tree,Environmental Disruptions,C2
Sweeping & Cleansing Hazard,Access,C1
Pothole / Surface Defect,Road Safety & Defects,C7
Seats and benches,Environmental Disruptions,C2
Dead Animals,Environmental Health,C3
Bridge,Environmental Disruptions,C2
Rights of Way,Access,C1
Countryside Paths / Public Rights of Way (usually not tarmac),Access,C1
Verges,Road Safety & Defects,C7
Single pothole (more than 30cm wide and,Road Safety & Defects,C7
Zebra crossing/ belisha faulty,Road Safety & Defects,C7
Overhanging vegetation,Environmental Disruptions,C2
Environmental health,Environmental Health,C3
Damaged/Exposed Wiring / Vandalised,Other,C5
Noise or Vibration,Road Safety & Defects,C7
Spillage On Project Network,Environmental Health,C3
Lamp: Outage (Single Unit),Road Safety & Defects,C7
Tree/branch - fallen,Environmental Disruptions,C2
Permanent,Road Safety & Defects,C7
Blocked drain surface,Environmental Health,C3
Damaged/Loose,Road Safety & Defects,C7
Roads/highways,Road Safety & Defects,C7
Light On During The Day,Road Safety & Defects,C7
"Street Light - Equipment damaged, pole leaning",Road Safety & Defects,C7
Dog Bin,Environmental Health,C3
Broken Flags/Kerbs,Environmental Disruptions,C2
"Bridge, Subway or Culvert on a public ri",Environmental Disruptions,C2
Low branches,Environmental Disruptions,C2
Missing,Environmental Health,C3
Objects in the road,Access,C1
Shopping Trolley,Incivilities,C4
Roads and pavement surfaces - Overhanging vegetation,Environmental Disruptions,C2
Noise nuisance,Incivilities,C4
Pothole / Failed Reinstatement,Road Safety & Defects,C7
Grass cutting query,Environmental Disruptions,C2
Blocked  Drains,Environmental Health,C3
Signal Failure all out,Road Safety & Defects,C7
Bridges,Environmental Disruptions,C2
Refuse - Missed Collection,Environmental Health,C3
Obstruction or hazard on road,Access,C1
Road markings faded/missing,Road Safety & Defects,C7
Street cleaning,Environmental Health,C3
Skip on road/verge,Road Safety & Defects,C7
Wheel tracks or ruts,Public Space,C6
Street cleansing,Environmental Health,C3
Lamp Dim,Road Safety & Defects,C7
Missing Number,Other,C5
Lines and Markings (Council Car Park),Road Safety & Defects,C7
Street Lights,Road Safety & Defects,C7
Tree Branches Overhanging,Environmental Disruptions,C2
Smell,Access,C1
Highway Drainage or Flooding,Environmental Health,C3
Trees & Hedges,Environmental Disruptions,C2
Traffic lights,Road Safety & Defects,C7
Utility Works and Manhole Covers (Streetworks),Environmental Disruptions,C2
Litter Bin Overflowing,Environmental Health,C3
Public toilet,Access,C1
Tree or Shrub on a public right of way,Access,C1
Utility Works and Manhole Covers (Street,Environmental Disruptions,C2
Signal head turned around,Road Safety & Defects,C7
Bench/cycle rack/litter bin/planter,Environmental Disruptions,C2
Graffiti on bridges/subways,Incivilities,C4
Car parking issues,Abandoned Vehicles & Parking,C8
Light in multi-storey car park,Road Safety & Defects,C7
Workmanship,Other,C5
Damaged / Missing / Facing Wrong Way,Road Safety & Defects,C7
Traffic light,Road Safety & Defects,C7
Street Nameplate,Environmental Disruptions,C2
Obscured by vegetation or Dirty,Access,C1
Problem with moths,Environmental Disruptions,C2
