name,code
Abandoned Vehicles,B1
Bin Replacement,B2
Bridge/Culvert Defects,B3
Bus Stops Damage,B4
Dangerous Building/Structure,B5
Dog Fouling,B6
Drainage,B7
Environmental Health,B8
Fences,B9
Floral Displays,B10
Gritting,B11
Grounds Maintenance,B12
Highways Enquiries,B13
Incivilities,B14
Open Spaces/Parks,B15
Other,B16
Overgrown/Fallen Veg/Trees,B17
Parking,B18
Pavement /Footway Defects,B19
Property Damage,B20
Public Toilets,B21
Retaining Wall,B22
Right of Way,B23
Road Safety,B24
Road Surface Defects,B25
Rubbish,B26
Street Furniture,B27
Street Lights,B28
Utility Works,B29
